SN,Image_Name,Pattern_Name,SSIM_Value,Current Average Value
01,01_Image.png,01_Pattern.png,4.6725355253864294e-05,4.6725355253864294e-05
02,02_Image.png,02_Pattern.png,0.11038274030757576,0.055214732831414814
03,03_Image.png,03_Pattern.png,0.18260206955938982,0.09767717840740649
04,04_Image.png,04_Pattern.png,0.2792252150193027,0.14306418756038053
05,05_Image.png,05_Pattern.png,0.24655683766775263,0.16376271758185496
06,06_Image.png,06_Pattern.png,0.23865884887605682,0.1762454061308886
07,07_Image.png,07_Pattern.png,0.23307782483446826,0.18436432308854284
08,08_Image.png,08_Pattern.png,0.23617186426918238,0.19084026573612278
09,09_Image.png,09_Pattern.png,0.236085015242519,0.19586746012572234
